Episode    1 | Steps:  110 | AvgReward: -0.5911 | Result: COLLISION
Episode    2 | Steps:  111 | AvgReward: -0.4930 | Result: COLLISION
Episode    3 | Steps:  178 | AvgReward: -0.5090 | Result: COLLISION
Episode    4 | Steps:  259 | AvgReward: -0.4099 | Result: COLLISION
Episode    1 | Steps:  112 | AvgReward: -0.5331 | Result: COLLISION
Episode    2 | Steps:  102 | AvgReward: +0.0309 | Result: COLLISION
Episode    3 | Steps:  414 | AvgReward: -0.2596 | Result: SUCCESS
Episode    4 | Steps:  282 | AvgReward: -0.2928 | Result: SUCCESS
Episode    5 | Steps:  203 | AvgReward: -0.4031 | Result: SUCCESS
Episode    6 | Steps:  164 | AvgReward: -0.2606 | Result: OUT_OF_ROAD
Episode    7 | Steps:  109 | AvgReward: -0.6206 | Result: COLLISION
Episode    8 | Steps:   99 | AvgReward: -0.5164 | Result: OUT_OF_ROAD
Episode    9 | Steps:  109 | AvgReward: -0.6129 | Result: OUT_OF_ROAD
Episode   10 | Steps:  109 | AvgReward: -0.4527 | Result: COLLISION
Episode   11 | Steps:  109 | AvgReward: -0.5604 | Result: COLLISION
Episode   12 | Steps:  109 | AvgReward: -0.4654 | Result: COLLISION
Episode    1 | Steps:  111 | AvgReward: -0.5438 | Result: COLLISION
Episode    2 | Steps:  344 | AvgReward: -0.7949 | Result: SUCCESS
Episode    1 | Steps:  110 | AvgReward: -0.5913 | Result: COLLISION
Episode    2 | Steps:  339 | AvgReward: -1.8943 | Result: OUT_OF_ROAD
Episode    3 | Steps:  120 | AvgReward: +0.0028 | Result: OUT_OF_ROAD
Episode    4 | Steps:   42 | AvgReward: -0.5561 | Result: OUT_OF_ROAD
Episode    5 | Steps:  102 | AvgReward: +0.0307 | Result: COLLISION
Episode    6 | Steps:   90 | AvgReward: -0.5923 | Result: OUT_OF_ROAD
Episode    7 | Steps:  258 | AvgReward: -0.2885 | Result: OUT_OF_ROAD
Episode    8 | Steps:  109 | AvgReward: -0.5321 | Result: COLLISION
